Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0.049120426177978516,0.991699,0.003662,-0.010254,-1.870229,-0.931298,-0.984733
0.05089616775512695,0.998779,-0.000732,-0.015625,-1.954198,-0.908397,-0.961832
0.05196571350097656,0.997803,0.004639,-0.015137,-1.885496,-1.030534,-1.022901
0.05303335189819336,0.999512,-0.001465,-0.020752,-1.709924,-1.229008,-0.839695
0.05399966239929199,0.992188,-0.003174,-0.025879,-1.89313,-0.923664,-1.015267
0.055451154708862305,1.002197,-0.003662,-0.012695,-1.717557,-0.900763,-0.916031
0.05661892890930176,1.000732,-0.000244,-0.01709,-1.778626,-1.083969,-0.969466
0.05758309364318848,0.994629,0.00293,-0.019775,-1.832061,-0.992366,-1.053435
0.05854988098144531,0.990967,-0.00293,-0.020752,-1.80916,-0.984733,-0.877863
0.05956554412841797,1.000977,-0.002686,-0.01416,-1.900763,-0.793893,-0.862595
0.06066775321960449,0.995117,-0.000488,-0.015869,-1.816794,-0.816794,-0.908397
0.061647653579711914,1.001709,-0.003906,-0.013672,-1.816794,-1.022901,-0.938931
0.06254720687866211,0.993408,0.001709,-0.019287,-1.862595,-0.969466,-0.961832
0.06345009803771973,0.999023,-0.003906,-0.019287,-2.0,-0.916031,-0.755725
0.06435608863830566,0.998779,-0.001709,-0.008057,-1.908397,-1.19084,-1.083969
0.06524419784545898,0.997314,0.000244,-0.023193,-1.748092,-0.877863,-0.946565
0.06619000434875488,0.98877,-0.001709,-0.023193,-1.717557,-1.137405,-0.816794
0.06716585159301758,0.995605,-0.000977,-0.02002,-1.725191,-1.007634,-0.931298
0.06809878349304199,0.999512,-0.003662,-0.018555,-1.916031,-0.984733,-0.946565
0.06903576850891113,1.000488,-0.00415,-0.018311,-1.763359,-1.206107,-0.839695
0.06997346878051758,1.000977,-0.001465,-0.013916,-1.78626,-0.992366,-0.938931
0.07111120223999023,0.995605,-0.005371,-0.018555,-1.748092,-0.832061,-0.954198
0.07237482070922852,0.99707,-0.000488,-0.020752,-1.847328,-0.969466,-0.885496
0.07335996627807617,1.000488,-0.005127,-0.020996,-1.877863,-1.198473,-1.0
0.07438015937805176,0.996338,0.000488,-0.014404,-1.717557,-0.961832,-0.885496
0.07540130615234375,0.99585,0.000977,-0.020508,-1.839695,-0.992366,-0.816794
0.07646489143371582,0.995117,-0.003174,-0.024658,-1.862595,-1.099237,-1.0
0.07744669914245605,0.994629,-0.001465,-0.019043,-1.755725,-1.076336,-0.931298
0.07840418815612793,0.996826,-0.00293,-0.023926,-1.916031,-0.824427,-0.870229
0.07938170433044434,1.003418,0.001465,-0.014893,-1.603053,-1.114504,-0.793893
0.08034896850585938,0.996582,-0.002441,-0.017334,-1.801527,-1.061069,-0.778626
