Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,AccMag,GyroMag
3.4683587551116943,1.018311,0.016602,-0.136963,-1.839695,-1.442748,-0.717557,1.0276146079605915,2.445585314966133
3.476822853088379,0.996826,0.015869,-0.143799,-1.748092,-1.145038,-0.984733,1.0072696023597654,2.3101161752598074
3.501483678817749,0.990723,0.018555,-0.125244,-1.877863,-1.374046,-0.709924,0.9987804615079332,2.4327687811752683
3.5031330585479736,0.984863,0.021729,-0.133301,-1.770992,-1.251908,-0.89313,0.9940806983394257,2.34549941407539
3.50960111618042,0.992432,0.015625,-0.138184,-1.816794,-0.961832,-0.80916,1.0021278526739987,2.209208260952326
3.520570993423462,0.987549,0.01416,-0.131348,-1.839695,-0.908397,-1.007634,0.9963462400716931,2.2858235016269304
3.538017511367798,0.990479,0.010498,-0.140381,-1.793893,-0.984733,-0.900763,1.0004327476677282,2.2358723485268563
3.5425949096679688,0.983887,0.019531,-0.138672,-1.824427,-1.038168,-0.832061,0.9938033066527803,2.258019526548431
3.5585851669311523,0.983643,0.012695,-0.132812,-1.839695,-0.885496,-0.946565,0.992649858619846,2.2504590994430447
3.5647730827331543,0.989014,0.017822,-0.13623,-1.740458,-0.824427,-1.244275,0.9985113563600566,2.2928354070272903
3.5750513076782227,0.981445,0.020508,-0.144043,-1.824427,-0.931298,-1.0,0.9921709791855434,2.2794406864695995
3.5857131481170654,0.979492,0.022217,-0.139648,-1.885496,-1.282443,-0.839695,0.9896462686520877,2.4299882525004106
3.596747875213623,0.982666,0.013672,-0.139404,-1.793893,-0.969466,-0.916031,0.9925990461188244,2.235403590756264
3.6118593215942383,0.98584,0.012939,-0.146973,-1.78626,-1.137405,-0.961832,0.9968194350282302,2.325840862537461
3.6215078830718994,0.984375,0.016602,-0.136719,-1.763359,-1.267176,-0.847328,0.9939627015084621,2.3309085605061814
3.631481409072876,0.986572,0.013184,-0.142578,-1.80916,-1.10687,-0.946565,0.9969085289654211,2.322543089315029
3.64158296585083,0.986084,0.019287,-0.148926,-2.007634,-0.984733,-0.847328,0.9974530549860479,2.391287958157486
3.6519322395324707,0.985596,0.013672,-0.145752,-1.763359,-1.21374,-0.877863,0.9964085729779727,2.313707673248719
3.662747621536255,0.984863,0.016602,-0.142822,-1.755725,-1.045802,-0.89313,0.9953034104518079,2.230236152457627
3.6737329959869385,0.988037,0.015381,-0.134766,-1.870229,-0.839695,-0.908397,0.9973041478335483,2.242326763670942
3.684718132019043,0.989014,0.020264,-0.137207,-1.992366,-0.946565,-1.0,0.99869168552712,2.4218809997976782
3.6957075595855713,0.990479,0.014893,-0.141846,-1.587786,-1.053435,-0.748092,1.000695127701739,2.0470543035017412
3.7115418910980225,0.988037,0.020996,-0.142578,-1.78626,-1.328244,-0.854962,0.9984920788213595,2.384516079329305
3.7176663875579834,0.991943,0.019531,-0.144287,-1.923664,-1.152672,-0.977099,1.0025722485581776,2.4461926294306835
3.7286295890808105,0.986084,0.019287,-0.136475,-1.763359,-0.946565,-1.114504,0.995670160771126,2.290750843745779
3.7402570247650146,0.987549,0.020996,-0.145508,-1.770992,-1.21374,-0.938931,0.9984319894118978,2.3433243212208166
3.7507078647613525,0.989258,0.010254,-0.138672,-1.839695,-1.175573,-0.877863,0.9989827118944551,2.353102849032103
3.761643886566162,0.989258,0.019531,-0.138428,-1.748092,-0.992366,-0.938931,0.9990871642199193,2.218604818614843
3.7716612815856934,0.986572,0.016357,-0.143066,-1.740458,-1.282443,-0.740458,0.9970254475132518,2.2851984919864186
3.7828359603881836,0.991455,0.017334,-0.137451,-1.816794,-1.068702,-0.931298,1.0010875396197876,2.3043828605602843
3.7937440872192383,0.988281,0.010254,-0.145508,-1.725191,-1.061069,-0.961832,0.9989880167154158,2.2421579349961056
3.804718017578125,0.987549,0.017334,-0.149658,-1.770992,-1.045802,-1.022901,0.9989749806281437,2.297050487705701
3.8169331550598145,0.982422,0.019287,-0.141846,-1.832061,-0.854962,-0.916031,0.9927966872270475,2.21957660875357
3.826659679412842,0.989258,0.016357,-0.137451,-1.740458,-1.099237,-1.0,0.9988952494701334,2.288562000893356
3.8417177200317383,0.98291,0.016113,-0.145752,-1.89313,-0.954198,-0.969466,0.993788379069206,2.331158369836764
3.851253032684326,0.98584,0.018311,-0.140869,-1.740458,-0.984733,-0.793893,0.996022024596846,2.151548099974063
3.8602547645568848,0.982422,0.019775,-0.146973,-1.78626,-1.083969,-0.877863,0.9935517598182794,2.266353244163407
3.871631622314453,0.998779,0.02002,-0.143555,-1.80916,-1.229008,-0.89313,1.0092414623200932,2.3624567226859416
3.881850481033325,0.990723,0.016113,-0.13501,-1.778626,-1.015267,-1.061069,1.0000096957519962,2.3065439410351583
3.8926217555999756,0.983643,0.012695,-0.133545,-1.687023,-1.175573,-0.984733,0.9927481964219327,2.2798503376640755
3.903623342514038,0.987305,0.014893,-0.142578,-1.770992,-1.290076,-0.900763,0.9976579827566158,2.3689834807378882
3.9146273136138916,0.989746,0.021973,-0.137939,-1.671756,-1.137405,-0.908397,0.9995534627852579,2.216673942457483
3.931321382522583,0.98877,0.015869,-0.135986,-1.908397,-1.083969,-0.80916,0.998203451334947,2.339168187234513
3.9358012676239014,0.985596,0.01709,-0.141357,-1.732824,-1.29771,-0.854962,0.9958279694630996,2.3275932377715827
3.946939706802368,0.990479,0.019531,-0.134277,-1.778626,-0.946565,-0.816794,0.9997301746626437,2.1740855975644107
3.957768678665161,0.98999,0.019531,-0.140137,-1.778626,-1.053435,-0.969466,1.0000500181640917,2.2832214242725124
3.9709441661834717,0.990479,0.013672,-0.13501,-1.801527,-1.10687,-0.870229,0.9997316005433659,2.2864731008848542
3.982266664505005,0.987305,0.014404,-0.138428,-1.923664,-1.221374,-0.847328,0.9970661710363059,2.4310907783042572
3.991481065750122,0.988525,0.019287,-0.137939,-1.763359,-1.045802,-0.885496,0.9982889520148963,2.2332129213536716
4.001973628997803,0.991943,0.016602,-0.138672,-1.824427,-1.152672,-0.946565,1.0017267417998783,2.3565169036393523
4.0130579471588135,0.989746,0.019043,-0.143066,-1.648855,-1.282443,-0.816794,1.0002138075036757,2.242885484751729
