Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0.03044867515563965,1.001953,-0.001953,-0.018066,-1.900763,-0.977099,-1.129771
0.03184056282043457,0.994385,-0.007812,-0.017578,-1.78626,-0.862595,-1.045802
0.03279852867126465,0.999023,-0.004883,-0.023193,-1.80916,-1.099237,-0.992366
0.03371477127075195,1.000977,-0.003174,-0.024902,-1.763359,-0.755725,-0.969466
0.03455853462219238,0.997803,-0.007812,-0.021973,-1.725191,-1.091603,-0.916031
0.03539538383483887,1.0,-0.012451,-0.025635,-1.862595,-1.122137,-0.946565
0.03624463081359863,0.998047,-0.003906,-0.017822,-1.740458,-0.938931,-0.961832
0.03710174560546875,0.997559,-0.002197,-0.024658,-1.862595,-0.755725,-0.931298
0.03795194625854492,0.992676,-0.011475,-0.027344,-1.916031,-1.015267,-0.900763
0.03896784782409668,0.998779,-0.010254,-0.02832,-1.748092,-1.038168,-0.824427
0.04006481170654297,0.993408,-0.010498,-0.025635,-1.870229,-1.083969,-1.083969
0.04093742370605469,0.996826,-0.004883,-0.027344,-1.885496,-0.80916,-1.068702
0.0417635440826416,1.000488,-0.007568,-0.023193,-1.862595,-1.10687,-1.030534
0.04257535934448242,1.000732,-0.01001,-0.016113,-1.778626,-0.923664,-1.007634
0.044487714767456055,0.996826,-0.00708,-0.029785,-1.725191,-1.053435,-0.732824
0.04645895957946777,0.997559,-0.008545,-0.030762,-1.916031,-0.763359,-1.076336
0.04773426055908203,0.998047,-0.007812,-0.027832,-1.755725,-0.938931,-0.923664
0.05290865898132324,0.998535,-0.002197,-0.024414,-1.931298,-1.114504,-0.847328
0.07202529907226562,0.995605,-0.006348,-0.027832,-1.80916,-0.847328,-0.854962
0.07489752769470215,0.997803,-0.009277,-0.023193,-1.847328,-1.083969,-1.015267
0.10019803047180176,0.994629,-0.005371,-0.02002,-1.748092,-1.022901,-0.847328
0.10129642486572266,0.998291,-0.007568,-0.025146,-1.770992,-0.877863,-0.969466
0.11162853240966797,1.000977,-0.013184,-0.013672,-1.717557,-1.022901,-0.954198
0.12033462524414062,0.994873,-0.011719,-0.029541,-1.687023,-1.145038,-1.007634
0.13191819190979004,1.003906,-0.00415,-0.019531,-1.641221,-1.022901,-0.885496
0.1404869556427002,0.993896,-0.002686,-0.020264,-1.763359,-0.923664,-0.908397
0.15161657333374023,0.996338,-0.00708,-0.019531,-1.78626,-0.908397,-0.969466
0.1619729995727539,0.997559,-0.005615,-0.02002,-1.763359,-0.961832,-0.908397
0.17299890518188477,0.999756,-0.008545,-0.018066,-1.778626,-0.969466,-0.793893
